"x","y"
1,-1.96957510508434
2,24.4332005073325
3,11.0186412053208
4,7.86742412419156
5,52.4050326659457
6,53.2095985617008
7,-3.08017967692992
8,-8.38766969430419
9,39.7156324666221
10,24.6870082253406
11,53.4237388166631
12,30.4206575394135
13,34.0461987106929
14,12.4562225681074
15,25.8252513716632
16,19.2213811014408
17,1.27548456094622
18,84.5021114345101
19,46.1669896706648
20,27.0423582136778
21,42.4962373070163
22,88.936397108006
23,48.8046860720071
24,22.6235890557869
25,46.0723883484003
26,82.7991555577631
27,43.1869300071626
28,48.2067252894471
29,58.6697747154562
30,93.486776444536
31,43.4643828431439
32,70.5260883795382
33,41.7564487812608
34,61.3120364874399
35,76.1366895721408
36,66.7777867527974
37,67.0343170091151
38,64.3963928765138
39,26.9904352342758
40,10.7193398808607
41,128.561239762917
42,151.814533471335
43,103.59102767854
44,117.437452081951
45,86.2257572281737
46,103.642899964413
47,81.2990082392977
48,118.502567153885
49,139.954369364723
50,82.7632856618519
51,94.4883939797571
52,116.745434552499
53,125.394793665258
54,74.0207660933578
55,132.973739224402
56,155.902599700471
57,119.297453579256
58,115.907347687165
59,113.45853692705
60,106.380355324549
61,164.398673647205
62,110.47328476801
63,156.147765567269
64,124.04467307411
65,113.95665077317
66,99.7162654712012
67,149.668912382783
68,162.318439498433
69,146.843433559995
70,137.641331316869
71,113.691262605583
72,129.869628322671
73,101.089167427038
74,128.749652851588
75,222.697377982728
76,157.857242070742
77,99.6601067638904
78,123.951368109701
79,145.378920895795
80,217.314745651007
81,157.086309216189
82,204.170304862368
83,173.143936362494
84,118.508306465382
85,190.719993377594
86,210.433289116244
87,171.769439199954
88,200.024129778693
89,192.974344659199
90,224.639735760703
91,163.987968220612
92,160.310763171883
93,217.152369574845
94,223.024229638151
95,186.843549885099
96,165.413848606712
97,197.795416802358
98,290.943595101089
99,156.770339125108
100,174.499364008443
