"x","y"
1,7.56000366256448
2,14.2202757298111
3,24.9858748501779
4,18.8648112227115
5,17.0086134323244
6,25.9509469886446
7,28.1318873488077
8,29.2859389226547
9,33.4669158038322
10,30.3878433220524
11,42.7740668443931
12,42.3190226675161
13,51.7267273701443
14,47.3287511216014
15,43.3110916561631
16,49.3207748491066
17,52.8209801563065
18,60.9023845621645
19,72.0531689434443
20,55.6682605917094
21,71.8817827704916
22,75.0845645669079
23,76.1484709084415
24,75.5143889806947
25,181.65560166098
26,86.771134816744
27,78.2400554362675
28,87.3577299365599
29,98.6298236490139
30,93.7381535808768
31,92.3076897124799
32,103.146997370927
33,96.109763768525
34,109.025002407199
35,105.113034890874
36,104.285492404655
37,119.32754355723
38,112.731543733283
39,118.583285645728
40,124.001263026167
41,127.061582500186
42,119.733146930072
43,119.531945284074
44,146.513667947643
45,145.285514771833
46,149.592733470954
47,151.953548990797
48,153.824906508823
49,147.3826575403
50,150.41673244747
