"x","y"
1,146.09412606433
2,85.0447386894375
3,119.985273981467
4,161.277389930561
5,101.511517148465
6,102.341588936746
7,99.9806463457644
8,116.717879421078
9,126.571781131439
10,158.234114092775
11,175.589204398915
12,128.875554331578
13,201.171814648435
14,123.786923469976
15,196.4481754601
16,118.693259927444
17,175.60474386625
18,184.135625234805
19,216.823225909844
20,207.392910490744
21,199.035195881501
22,176.676662230864
23,206.245603373274
24,172.507929805666
25,151.219226769172
26,195.319739748724
27,251.538325605914
28,219.253065030091
29,179.629808253609
30,193.658748297021
31,224.809385534376
32,272.876042683609
33,273.787272994407
34,262.465703779832
35,283.60128834378
36,243.756686808541
37,227.347905400209
38,225.220541351475
39,269.755281153135
40,265.469975061715
41,234.71920579765
42,257.660722855479
43,279.281539589167
44,235.477128344588
45,325.199856068939
46,312.953655529767
47,304.480388236232
48,268.38694269117
49,261.7333167037
50,288.108412921429
